,Train_MAE,Train_RMSE,MAE,RMSE,
331,9.281842977,16.64391573,55.38064125,175.485689,
332,6.076941963,11.57150228,30.84715692,57.64697793,
333,8.982487282,18.32884914,21.06485854,37.22084709,
334,9.706361103,19.60064399,22.47415845,32.74965058,
335,8.072128272,15.72121937,30.93557139,49.43781638,
336,7.642986561,14.45074773,43.82412766,84.27932345,
337,7.787582497,14.94636683,29.650509,49.64940586,
338,8.564158768,16.99248886,30.32302493,51.38012919,
339,9.211125501,18.04038762,22.70605879,33.67997833,
340,5.37352903,10.54545563,38.03879298,58.37197326,
341,8.063589882,15.9953249,34.25578999,73.07859501,
342,8.781862177,17.34506337,35.35017372,64.5093472,
343,7.854609766,15.64276805,46.84582073,118.6946615,
344,9.327502966,18.75983315,20.9219268,31.92503843,
345,8.355392078,16.2979068,27.60367265,49.70128531,
346,8.823078895,16.3570715,49.50061957,164.6485802,
347,8.619723415,16.8000846,42.10166888,116.0057864,
348,8.771490058,16.61054824,25.54658749,43.78124756,
349,9.705042476,19.34300424,19.97010804,37.01415091,
350,9.143965868,18.07328836,22.6269724,38.55409935,
351,9.257430532,18.55413617,30.11981291,59.04673366,
352,9.719008787,19.22057242,27.97842054,55.53572191,
353,9.029850651,17.10596841,33.21661117,53.6667766,
354,8.885465702,17.35676189,33.81736542,64.43088816,
355,8.113869961,16.13274885,41.86370753,80.97007042,
356,8.497494761,16.55062927,46.60221194,86.55803927,
357,6.118619066,11.79669856,17.92647881,34.72051647,
358,9.689929795,19.12061727,32.2495025,59.55543983,
359,9.007645748,17.80981387,50.17997,125.2588589,
360,8.929825652,15.57632306,45.32568071,151.6860983,
361,9.185373508,18.15815033,23.68409267,39.70373791,
362,8.98371812,17.8430658,30.76099913,44.25763222,
363,9.293624886,18.51694632,27.09340082,40.73867761,
364,5.12208133,10.17427517,36.4884677,64.02407621,
365,9.034551515,17.75414685,47.04689446,96.75429331,
366,8.802045168,17.86989493,25.63257116,39.73340548,
367,7.896423017,15.79124794,41.67895899,84.79470224,
368,7.656050483,14.73554093,40.70779493,71.93357314,
369,8.258072917,15.84998272,33.69557701,54.32809019,
370,8.471067583,16.20621737,49.79286352,98.53042886,
371,8.67451179,17.52399211,25.3285559,40.5866873,
372,7.719144465,15.81738127,59.53138995,122.7468947,
373,9.272840539,17.94029091,24.95953667,46.02661958,
374,7.919429348,15.33105173,40.66026876,82.36136874,
375,8.240305133,15.99078562,17.58917332,32.63455366,
376,8.295241956,15.80372125,37.00217567,58.6388605,
377,7.700167922,14.61748625,35.17048864,60.19034521,
378,8.962218632,17.98695023,22.01593806,29.12165758,
379,6.010338049,11.03970479,27.00793028,39.41078895,
380,8.345506091,16.62603965,27.28670167,61.98956131,
381,10.33068117,20.0790278,21.83369305,31.26361266,
382,7.476956579,14.65084134,38.964186,71.01029123,
383,8.588024406,16.11263761,49.01164717,115.9966848,
384,9.007497088,17.43401327,23.00383359,49.98046713,
385,8.593878585,17.75082153,25.3998643,40.4782358,
386,8.65039672,16.27387329,36.36689159,69.76230407,
387,8.353959892,16.09645239,32.61014469,52.17603116,
388,9.511285521,18.7864231,50.19551243,100.7862503,
389,8.521180846,16.28544697,24.47871872,52.18441774,
390,8.471927591,17.21231179,24.63699535,41.56208296,
391,8.937356514,17.09850583,29.62804353,50.36533186,
392,9.529346614,18.34791281,27.21148426,52.75366263,
393,8.648988187,16.60327347,30.86433363,58.71764923,
394,8.064660907,15.00326854,64.40681164,158.2041239,
395,6.018005119,11.48501355,37.3787983,104.2308906,
396,6.900909226,12.8689812,35.02345223,66.18167601,
