,Train_MAE,Train_RMSE,MAE,RMSE,SEM(MAE),SEM(RMSE)
225,0.040171692,0.088428912,0.365401731,0.512571996,,
226,1.80E-10,2.76E-10,0.426971314,0.621991492,,
227,0.040410737,0.087761233,0.312020887,0.431285005,,
228,0.039558617,0.087058265,0.325369685,0.435869409,,
229,0.045806218,0.092817965,0.415744743,0.558350166,,
230,0.040045322,0.087502053,0.280319054,0.384065287,,
231,0.044266431,0.09136895,0.368394364,0.511299741,,
232,0.041899704,0.089118105,0.254440152,0.338008517,,
233,0.042822309,0.090449656,0.394381262,0.495488444,,
234,2.02E-10,3.06E-10,0.409000116,0.536975688,,
235,0.040937975,0.088081488,0.315429711,0.446546545,,
236,0.042370146,0.089142232,0.353286185,0.501597731,,
237,2.14E-10,3.18E-10,0.229772889,0.38004992,,
238,0.043635613,0.091272703,0.379775397,0.554277481,,
239,1.95E-10,2.97E-10,0.4278964,0.586388417,,
240,0.047759483,0.094197701,0.362418478,0.473939794,,
241,0.047119938,0.094533387,0.401472389,0.613762008,,
242,0.039550612,0.087362342,0.412356925,0.584915476,,
243,0.039530247,0.087392017,0.225726217,0.279453949,,
244,2.37E-10,3.55E-10,0.319960424,0.497405311,,
245,0.058710965,0.107174293,0.463868232,0.623141465,,
246,1.93E-10,2.95E-10,0.383227799,0.558160544,,
247,0.041623288,0.090092204,0.358103321,0.487767267,,
248,0.046957573,0.093795197,0.374736112,0.523442439,,
249,0.047965101,0.093691655,0.309988995,0.414191857,,
250,0.039469248,0.087578227,0.383902415,0.486692473,,
251,1.84E-10,2.62E-10,0.295611208,0.460578638,,
252,0.056397543,0.104137692,0.376998162,0.614448252,,
253,0.043297254,0.091092704,0.259619423,0.311537035,,
254,2.20E-10,3.36E-10,0.477040597,0.666946278,,
255,1.86E-10,2.75E-10,0.365408947,0.514354426,,
256,0.053888095,0.100346073,0.373393394,0.566496573,,
257,0.045111395,0.090724204,0.168620757,0.230015773,,
258,2.01E-10,3.06E-10,0.385865055,0.547702593,,
259,0.039724507,0.087043092,0.271715939,0.354321061,,
260,2.19E-10,3.38E-10,0.433100673,0.600239808,,
261,0.039019695,0.086428835,0.35299368,0.456327109,,
262,0.042402335,0.090179998,0.308458075,0.426673351,,
263,0.039903731,0.086675371,0.314955519,0.427083524,,
264,2.06E-10,3.04E-10,0.477904141,0.629948062,,
265,0.051015927,0.097430627,0.358861771,0.46935756,,
266,0.038226136,0.086318742,0.457913471,0.695712653,,
267,2.15E-10,3.16E-10,0.345247123,0.572955048,,
268,0.04006571,0.087843046,0.360208043,0.504348477,,
269,2.23E-10,3.43E-10,0.37913843,0.49392365,,
270,0.040826393,0.088606982,0.326408449,0.3903894,,
271,2.05E-10,3.13E-10,0.360577656,0.520136797,,
272,1.89E-10,2.79E-10,0.37159509,0.502315074,,
273,0.044185643,0.09067023,0.276588129,0.423679151,,
274,2.07E-10,3.04E-10,0.344803761,0.486849429,,
275,0.050215798,0.096724177,0.326189561,0.462751798,,
276,2.26E-10,3.47E-10,0.49389951,0.642847437,,
277,0.056029262,0.102902808,0.316281399,0.439867089,,
278,0.040559671,0.087635504,0.400094925,0.49878822,,
279,0.038199856,0.086256493,0.445887752,0.599150675,,
280,0.044743618,0.091087377,0.274201039,0.36139891,,
281,0.038466044,0.086444861,0.412766645,0.54457411,,
282,0.04336442,0.09040347,0.389247161,0.524225304,,
283,0.040362515,0.088381503,0.306596176,0.379275791,,
284,0.058577227,0.106387993,0.369034658,0.498009983,,
285,0.041074179,0.088767297,0.366566616,0.578870383,,
286,0.039466355,0.086924044,0.342760606,0.460324293,,
287,0.038289899,0.086316551,0.46412107,0.628212328,,
288,2.03E-10,3.05E-10,0.425002265,0.590449745,,
289,2.06E-10,3.09E-10,0.367152195,0.550571531,,
290,1.92E-10,2.80E-10,0.361842289,0.499294216,,
291,0.038030367,0.08619034,0.378148046,0.543770614,,
292,0.04144028,0.089428413,0.36336242,0.459219036,,
293,0.042304934,0.090196139,0.359215228,0.46486001,,
294,0.046245138,0.093150293,0.363051038,0.48964164,,
295,0.055411863,0.101677701,0.38482047,0.533059942,,
296,1.99E-10,2.88E-10,0.315135625,0.459821399,,
297,1.92E-10,2.84E-10,0.317871444,0.487818935,,
298,0.044967578,0.092146448,0.290538328,0.364570541,,
299,0.042554935,0.090698251,0.408977871,0.532704966,,
300,2.02E-10,3.01E-10,0.415288682,0.62048082,,
301,0.04265414,0.089755991,0.266166611,0.381204782,,
302,0.041381933,0.089307155,0.329474266,0.444517172,,
303,1.85E-10,2.56E-10,0.550748025,0.774521686,,
304,0.039344219,0.086424019,0.337823308,0.436243791,,
305,1.69E-10,2.49E-10,0.370472075,0.548321074,,
306,1.81E-10,2.60E-10,0.449190238,0.6483627,,
307,2.23E-10,3.34E-10,0.504956721,0.652401103,,
308,0.042443341,0.089513149,0.401736723,0.640566385,,
309,1.83E-10,2.58E-10,0.331459315,0.491003851,,
310,0.042680208,0.090245284,0.369777524,0.481299526,,
311,0.041165231,0.089154829,0.410590311,0.537735802,,
312,0.03890544,0.086352507,0.506314481,0.707301876,,
313,1.91E-10,2.82E-10,0.427562439,0.677539211,,
314,0.039045373,0.087426033,0.345361026,0.447650878,,
315,0.053369033,0.099688108,0.316381577,0.452660317,,
316,0.049885841,0.09797411,0.359812851,0.440381952,,
317,2.34E-10,3.53E-10,0.625722351,0.807030197,,
318,0.045457025,0.092123938,0.266022282,0.42298755,,
319,1.83E-10,2.68E-10,0.330549514,0.574283791,,
320,2.04E-10,3.10E-10,0.333652932,0.545963625,,
321,0.041959501,0.088533389,0.463810938,0.616001817,,
322,0.042547049,0.091230428,0.379560538,0.526387714,,
323,0.042751664,0.089779143,0.307915198,0.422549793,,
324,0.044203663,0.091326053,0.37440416,0.534763399,,
325,2.03E-10,3.07E-10,0.329769117,0.485946611,,
326,0.045842301,0.091643435,0.264753363,0.357749394,,
327,2.29E-10,3.49E-10,0.365622998,0.518215073,,
328,0.041688271,0.089545034,0.413502255,0.671337782,,
329,0.041820168,0.089653835,0.336495489,0.449974399,,
330,1.98E-10,2.89E-10,0.307275351,0.475351749,,
331,2.03E-10,2.99E-10,0.368287305,0.525522721,,
332,0.041857762,0.088429083,0.492318597,0.714780285,,
333,0.045285116,0.092001058,0.279285422,0.384828176,,
334,0.041810834,0.087890864,0.278920439,0.420631307,,
335,0.04405396,0.091871198,0.277687397,0.377798338,,
336,0.049306496,0.097243637,0.381144219,0.484930395,,
337,1.96E-10,2.90E-10,0.498903203,0.744948479,,
338,1.87E-10,2.85E-10,0.518700286,0.648165184,,
339,0.037292317,0.085813635,0.449314581,0.554295103,,
340,0.039286938,0.087183111,0.485448337,0.687388149,,
341,0.039513634,0.087316047,0.401294722,0.599043502,,
342,0.042279051,0.089805486,0.316395704,0.420878899,,
343,0.042865402,0.089725413,0.358885907,0.447529056,,
344,0.047542977,0.094273616,0.385918737,0.656061887,,
345,0.052761177,0.098828092,0.313259951,0.396402382,,
346,2.17E-10,3.34E-10,0.324974097,0.478536031,,
347,0.044210579,0.091708425,0.268159436,0.351509241,,
348,1.85E-10,2.68E-10,0.412330666,0.598993335,,
349,0.050046652,0.096040542,0.362318254,0.599214099,,
350,0.04383982,0.091194605,0.358459736,0.495716145,,
351,0.052181197,0.100202964,0.413522133,0.516738725,,
352,0.043426892,0.090120891,0.271842858,0.392930735,,
353,0.040929314,0.08770312,0.382355159,0.517179994,,
354,0.039420631,0.086366715,0.36282836,0.500239359,,
355,0.050067502,0.097329177,0.345290776,0.58218632,,
356,2.11E-10,3.20E-10,0.392429205,0.533733176,,
357,0.04088585,0.088527353,0.312117303,0.388429045,,
358,1.95E-10,2.88E-10,0.329479109,0.525378366,,
359,0.042499641,0.090249022,0.284870085,0.385009761,,
360,0.050290254,0.100145694,0.401217525,0.582965152,,
361,0.046626255,0.093310417,0.349653478,0.481397109,,
362,0.053779738,0.100109509,0.356928733,0.45675775,,
363,0.043411275,0.090814471,0.347668731,0.464780864,,
364,0.051831094,0.099636838,0.288885721,0.391390869,,
365,0.050426973,0.097392096,0.270663363,0.323794831,,
366,1.92E-10,2.89E-10,0.412631833,0.589156085,,
367,0.048069025,0.095829985,0.385486294,0.548114862,,
368,0.044988383,0.092173865,0.35543172,0.559097636,,
369,1.51E-06,2.20E-06,0.425186577,0.642421396,,
