Molecule,A1,A2,Reduced mass,Electronic state,Te (cm^{-1}),omega_e (cm^{-1}),omega_ex_e (cm^{-1}),Be (cm^{-1}),alpha_e (cm^{-1}),De (10^{-7}cm^{-1}),Re (\AA),D0 (eV),IP (eV),Reference,Date of reference,Notes
He2,4,4,2.00130163,F $^1 \Pi_{u} \ 3 d \pi$,165971,1670.57,40.03,7.156,0.235,5240,1.0849,,22.223,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
He2,4,4,2.00130163,F $^1 \Delta_{u} \ 3 d \delta$,166304,1706.59,35.06,7.23,0.225,5200,1.0794,,22.223,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
He2,4,4,2.00130163,I $^l \Pi_{g} \ 4 p \pi$,172266,,,7.242,0.223,,1.078,,22.223,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
He2,4,4,2.00130163,J $^1 \Pi_{u} \ 4 d \pi$,172290,,,7.08,,5400,1.0908,,22.223,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
He2,4,4,2.001302,J $^1 \Delta_{u} \ 4 d \delta$,172416,,,7.097,,5000,1.0894,,22.223,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
He2,4,4,2.00130163,L $^{1} \Pi_{ g } \ 5 p \pi$,174794,,,7.23,0.222,,1.079,,22.223,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
He2,4,4,2.00130163,P ${ }^{1} \Pi_{g} \ 6 p \pi$,176160,,,7.22,0.22,,1.08,,22.223,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
He2,4,4,2.00130163,R ${ }^{1} \Pi_{g} \ 7 p \pi$,176983,,,7.22,0.22,,1.08,,22.223,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
He2,4,4,2.00130163,S ${ }^{l} \Pi_{ g } \ 8 p \pi$,177515,,,7.21,0.22,,1.081,,22.223,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
He2,4,4,2.00130163,a $^3 \Sigma_{u}^{+} \ 2 s \sigma$,144048,1808.56,38.21,7.7036,0.2281,5560,1.0457,,22.223,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
He2,4,4,2.00130163,b $3 \Pi _{ g } \ 2 p \pi$,148835,1769.07,35.02,7.4473,0.2196,5300,1.0635,,22.223,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
He2,4,4,2.00130163,c $^3 \Sigma_{g}^{+} \ 3 p \sigma$,155053,1583.85,52.74,7.0048,0.3105,5560,1.0966,,22.223,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
He2,4,4,2.00130163,d $^3 \Sigma_{u}^{+} \ 3 s \sigma$,164479,1728.01,36.13,7.3412,0.2244,5320,1.0712,,22.223,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
He2,4,4,2.00130163,e $^3 \Pi_{g} \ 3p\pi$,165598,1721.22,34.97,7.2838,0.2215,5220,1.0754,,22.223,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
He2,4,4,2.00130163,f $^3 \Sigma_{u}^{+} \ 3d\sigma$,165685,1635.77,44.41,7.071,0.246,5310,1.0914,,22.223,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
He2,4,4,2.00130163,f $^3 \Pi_{u} \ 3d \pi$,166303,1706.82,35.1,7.23,0.227,5260,1.0794,,22.223,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
He2,4,4,2.00130163,f $^3 \Delta_{u} \ 3d \delta$,165877,1661.48,44.79,7.136,0.235,5340,1.0865,,22.223,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
He2,4,4,2.00130163,g $^3 \Sigma_{g}^{+} \ 4 p \sigma$,167714,1589.92,41,7.2207,0.2478,5380,1.0801,,22.223,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
He2,4,4,2.00130163,h $^3 \Sigma_{u}^{+} 4 s \sigma$,170884,1637.9,,,0.23,5240,1.077,,22.223,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
He2,4,4,2.00130163,i $^3 \pi_{g} 4 p \pi$,171290,1637.94,35.25,7.242,0.223,5140,1.0785,,22.223,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
He2,4,4,2.00130163,j $^3 \Sigma_{u}^{+} \ 4d\sigma$,171323,1669.79,39.09,,,,,,22.223,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
He2,4,4,2.00130163,j $^3 \Pi_{u} \ 4d\pi$,171402,1680.94,40.81,7.186,0.2296,5400,1.0827,,22.223,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
He2,4,4,2.001302,j $^3 \Delta_{u} \ 4d\delta$,171573,1702.24,35.07,7.2088,0.2248,5200,1.081,,22.223,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
He2,4,4,2.00130163,k' $^3 \Sigma_{g}^{+} 5p\sigma$,172236,1686.9,38.1,7.379,0.349,5800,1.0684,,22.223,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
He2,4,4,2.00130163,k $^3 \Sigma_{g}^{+} \ 5s\sigma$,173698,1635.3,,7.232,0.23,,1.079,,22.223,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
He2,4,4,2.00130163,l $^3 \Pi_{g} 5 p \pi$,173884,1633.96,35.25,7.226,0.222,5120,1.0797,,22.223,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
He2,4,4,2.00130163,m $^3 \Pi_{u} 5d \pi$,174778,,,,,,1.091,,22.223,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
He2,4,4,2.00130163,n $^3 \Sigma_{g}^{+} \ 6p \sigma$,174389,1619.52,36.5,7.4754,0.249,7210,1.0615,,22.223,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
He2,4,4,2.00130163,o $^3 \Sigma_{u}^{+} 6 s \sigma$,176001,,,7.109,,5100,1.0885,,22.223,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
He2,4,4,2.00130163,p $^3 \Pi _{ g } \ 6 p \pi$,175281,1701.18,35.35,7.22,0.224,5140,1.0801,,22.223,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
He2,4,4,2.00130163,q ${}^3 \pi_{u} \ 6 d \pi$,176169,,,7.092,,5000,1.0898,,22.223,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
He2,4,4,2.00130163,r ${}^3 \Pi_{g} \ 7 p \pi$,176117,1700.56,35.25,7.1044,,5080,1.0889,,22.223,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
He2,4,4,2.00130163,s ${}^3 \Pi_{ g } \ 8 p \pi$,176658,1629.3,35.25,7.213,0.2234,5100,1.0806,,22.223,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
He2,4,4,2.00130163,t ${}^3 \Pi_{g} \ 9 p \pi$,177027,1629.15,35.25,7.212,0.23,5070,1.081,,22.223,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
He2,4,4,2.00130163,u $^3 \Pi_{ g } \ 10 p \pi$,177291,1628.69,35.25,7.212,0.222,5030,1.081,,22.223,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
HeAr,4,40,3.636363636,X,0,,,,,,3.51,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jan-76,
HeKr,4,84,3.818181818,X,0,,,,,,3.75,0.00213,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jan-76,
HeNe,4,20,3.333333333,X,0,,,,,,3.21,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jan-76,
HeXe,4,132,3.882352941,X,0,,,,,,4.15,0.00217,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jan-76,
Hg2,200,202,100.482247,X ${ }^{1} \Sigma_{g}^{+}$,0,36,,,,,3.3,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jan-75,
HgH,202,1,0.995073892,X,0,1203.2,120,5.389,,,1.766,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
HT,1,3,0.75,x $^1 \Sigma_{g}^{+}$,0,3597.05,81.678,40.595,1.664,,0.74142,4.52694,15.45146,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
I2,127,127,63.4522378,X ${ }^{1} \Sigma_{g}^{+}$,0,214.502,0.6147,0.037372,0.0001138,0.0425,2.6663,1.54238,9.311,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jan-77,
I2,127,127,63.4522378,A $^3 \Pi_{1u}$,11888,44,1,,,,,1.54238,9.311,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jan-77,
I2,127,127,63.4522378,B $^3 \Pi_{O^{+}u} \ q$,15769.01,125.697,0.7642,0.029039,0.0001582,0.0543,3.0247,1.54238,9.311,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jan-77,
I2,127,127,63.4522378,D ${ }^{1} \Sigma_{u}^{+} \ l$,40679,104.41,0.243,,,,,1.54238,9.311,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jan-77,
I2,127,127,63.4522378,E $^3 \Pi_{O_{g}^{+}} \ j$,41411.4,101.59,0.238,,,,3.65,1.54238,9.311,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jan-77,
I2,127,127,63.4522378,F',45230,93.4,0.6,,,,,1.54238,9.311,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jan-77,
I2,127,127,63.4522378,F $^1 \Sigma_{u}^{+} \ f$,47217.8,95.955,0.3623,,,,3.6,1.54238,9.311,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jan-77,
I2,127,127,63.4522378,H,46063,103.7,0.095,,,,,1.54238,9.311,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jan-77,
I2,127,127,63.4522378,I,51973,112.4,0.705,,,,,1.54238,9.311,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jan-77,
IBr,127,79,48.7038835,X,0,268.64,0.814,0.05683252,0.0001969,1.02,2.468989,1.8176,9.85,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
InBr,113,79,46.49479167,A $^3 \Pi^{+}$,26597.85,228.163,1.195,0.058323,0.000245,,2.483092,3.99,,"S. Mishra, R. K. Yadav, V. Singh and S. Rai, J. Phys. Chem. Ref. Data, 2004, 33, 453�470.",2004,
InBr,115,81,47.5255102,X,0,221,0.65,0.0548944,0.0001862,1.35,2.54318,3.99,9.09,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
InCl,115,35,26.83333333,X $^1 \Sigma^{+}$,0,317.389,1.032,0.10898,1.173703,,2.402024,,,"S. Mishra, R. K. Yadav, V. Singh and S. Rai, J. Phys. Chem. Ref. Data, 2004, 33, 453Ð470.",2004,
InCl,115,35,26.83333333,A $^3 \Pi_{0}$,27778.209,340.04,1.88,0.11522,0.0006678,,2.333,,,"S. Mishra, R. K. Yadav, V. Singh and S. Rai, J. Phys. Chem. Ref. Data, 2004, 33, 453Ð470.",2004,
InF,115,19,16.30597015,X $^1 \Sigma^{+}$,0,535.001,2.618,0.26214,0.00187855,,1.9854,,,"S. Mishra, R. K. Yadav, V. Singh and S. Rai, J. Phys. Chem. Ref. Data, 2004, 33, 453Ð470.",2004,
InF,115,19,16.30597015,A $^3 \Pi_{0}$,30445.86,575.2,3.67,0.2732,0.002,,1.945,,,"S. Mishra, R. K. Yadav, V. Singh and S. Rai, J. Phys. Chem. Ref. Data, 2004, 33, 453Ð470.",2004,
InI,115,127,60.35123967,X,0,177.1,0.4,0.036867,0.00010411,0.76,2.75365,3.43,8.5,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
IrSi,193,28,24.45248869,X $^2 \Delta_{5/2}$,0,533,,,,,2.09,,,"M. A. Garcia, C. Vietz, F. Ruip«erez, M. D. Morse and I. Infante, J. Chem. Phys., 2013, 138, 154306.",2013,[1] $r_o$ value [2] $\Delta G_{1/2]$  value
K2,39,39,19.4818545,X $^1 \Sigma_{g}^{+}$,0,92.021,0.2829,0.056743,0.0001651,0.863,3.9051,0.514,4,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jan-77,
K2,39,39,19.4818545,A $^1 \Sigma_{u}^{+}$,11681.9,69.09,0.153,,,,,0.514,4,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jan-77,
K2,39,39,19.4818545,B $^1 \Pi_{u}$,15376.74,75,0.3876,0.048763,0.00024,0.825,4.2125,0.514,4,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jan-77,
K2,39,39,19.4818545,C $^1 \Pi_{u}$,22969.43,61.485,0.133,0.04404,0.00011,,4.433,0.514,4,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jan-77,
K2,39,39,19.4818545,D,24627.7,61.6,0.9,,,,,0.514,4,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jan-77,
K2,39,39,19.4818545,E,26494,61.8,0.28,,,,,0.514,4,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jan-77,
K2,39,39,19.4818545,F,27571,62.29,0.24,,,,,0.514,4,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jan-77,
K2,39,39,19.4818545,G,28091,64.9,0.55,,,,,0.514,4,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jan-77,
KBr,39,79,26.11016949,X,0,213,0.8,0.0812,0.0004,,2.821,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
KCl,39,35,18.44594595,X,0,281,1.3,0.12863476,0.0007899,1.0874,2.66665,4.34,8.44,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
KF,39,18.998,12.77495776,X,0,428,2.4,0.279937413,0.002335038,0.04834,2.171457,5.07,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
KI,39,127,29.8373494,X,0,186.53,0.574,0.06087473,0.00026776,2.8934,3.047844,3.31,7.21,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
Kr2,84,84,41.9557527,X $^1 \Sigma^{+}_{g},0,24.18,1.34,,,,4.03,0.0157,12.87,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Apr-77,
Kr2,84,84,41.9557527,A $L_{u}$,79613,67.3,,,,,,0.0157,12.87,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Apr-77,
Kr2,84,84,41.9557527,B $O^{+}_{u}$,80006,80.8,,,,,,0.0157,12.87,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Apr-77,
Kr2,84,84,41.9557527,C $O^{+}_{u}$,85522,43.31,1.74,,,,,0.0157,12.87,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Apr-77,
LaF,139,19,16.71518987,X,0,570,,0.2456,,,2.026,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
Li2,7,7,3.5080024,X $^1 \Sigma_{g}^{+}$,0,351.43,2.61,0.67264,0.00704,98.7,2.6729,1.046,5,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Mar-77,
Li2,7,7,3.5080024,A $^1 \Sigma_{u}^{+}$,14068.35,255.47,1.582,0.4975,0.0054,75.4,3.1079,1.046,5,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Mar-77,
Li2,7,7,3.5080024,B $^1 \Pi_{u}$,20436.01,270.12,2.671,0.5577,0.0085,94.5,2.935,1.046,5,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Mar-77,
Li2,7,7,3.5080024,C $^1 \Pi_{u}$,30550.6,237.9,3,0.5075,0.00973,90,3.077,1.046,5,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Mar-77,
Li2,7,7,3.5080024,D $^1 \Pi_{u}$,34518,201.68,,0.4628,0.0073,114,3.222,1.046,5,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Mar-77,
LiBe,6.941,9.012,3.921036294,X $^2 \Sigma^{+}$,0,326.2,9.5,,,,2.59,0.326483968,,"[1]R. Schlachta, I. Fischer, P. Rosmus and V. E. Bondybey, Chem. Phys. Lett., 1990, 170, 485Ð491. [2] Persinger, T., Han, J. and Heaven, M., 2021. Electronic Spectroscopy and Photoionization of LiBe. The Journal of Physical Chemistry A, 125(37), pp.8274-8281.",[1]1990 [2] 2021,"1- for ground state D_e is calculated via morse potential extrapolation.
** LiBe 2021: To minimize the errors introduced by imposing the Morse model on the data, it is most appropriate 
to compare the measured and calculated values for ?G1/2 
2-D_0 has been calculated using the observed values of D_e, omega_{e} and omega_{e}x_{e} of the ground state"
LiBe,6.941,9.012,3.921036294,C $^2 \Pi,19203,188,,,,,3.04,0.326483968,,"[1] R. Schlachta, I. Fischer, P. Rosmus and V. E. Bondybey, Chem. Phys. Lett., 1990, 170, 485Ð491.",[1] 1990,"1- for ground state D_e is calculated via morse potential extrapolation.
** LiBe 2021: To minimize the errors introduced by imposing the Morse model on the data, it is most appropriate 
to compare the measured and calculated values for ?G1/2 
2-D_0 has been calculated using the observed values of D_e, omega_{e} and omega_{e}x_{e} of the ground state"
LiBr,7,79,6.430232558,X,0,563.16,3.53,0.555399,0.0056442,2.159,2.170427,4.33,10,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
LiCa,6.941,40.078,5.916361428,X $^2 \Sigma^{+}$,0,202,,,,,3.36,0.841264,,"[1] A. Stein, M. Ivanova, A. Pashov, H. Kno¬ckel and E. Tiemann, J. Chem. Phys., 2013, 138, 114306. 
[2] Wu, C., Ihle, H. and Gingerich, K., 1983. A mass spectrometric study of the alkaline earth diatomic molecules. Dissociation energies of Mg2, Ca2 and CaLi. International Journal of Mass Spectrometry and Ion Physics, 47, pp.235-238.
[4] Pototschnig, J., Meyer, R., Hauser, A. and Ernst, W., 2017. Vibronic transitions in the alkali-metal (Li, Na, K, Rb) Ð alkaline-earth-metal (Ca, Sr) series: A systematic analysis of de-excitation mechanisms based on the graphical mapping of Frank-Condon integrals. Physical Review A, 95(2).",[1] 2013 [2] 1983 [4] 2017,
LiCa,6.941,40.078,5.916361428,1 $^2 \Pi$,5345,293.53,1.09,0.335,0.00282,,2.906,0.841264,,"[5] Gerschmann, Julia: Hochauflšsende Spektroskopie der Alkali-Erdalkali-MolekŸle KCa und LiCa. Hannover : Gottfried Wilhelm Leibniz UniversitŠt, Diss., 2021, 111 S., DOI: https://doi.org/10.15488/11717",[5] 2021,
LiCa,6.941,40.078,5.916361428,2 $^2 \Sigma^{+}$,9572.092,202.3678,0.3516,0.2325152,0.0012477,,3.48514,0.841264,,"[1] A. Stein, M. Ivanova, A. Pashov, H. Kno¬ckel and E. Tiemann, J. Chem. Phys., 2013, 138, 114306. 
[2] Wu, C., Ihle, H. and Gingerich, K., 1983. A mass spectrometric study of the alkaline earth diatomic molecules. Dissociation energies of Mg2, Ca2 and CaLi. International Journal of Mass Spectrometry and Ion Physics, 47, pp.235-238.
[4] Pototschnig, J., Meyer, R., Hauser, A. and Ernst, W., 2017. Vibronic transitions in the alkali-metal (Li, Na, K, Rb) Ð alkaline-earth-metal (Ca, Sr) series: A systematic analysis of de-excitation mechanisms based on the graphical mapping of Frank-Condon integrals. Physical Review A, 95(2).",[1] 2013 [2] 1983 [4] 2017,
LiCa,6.941,40.078,5.916361428,4 $^2 \Sigma^{+}$,15240.07,287.84,,,,,3.425,0.841264,,"[5] Gerschmann, Julia: Hochauflšsende Spektroskopie der Alkali-Erdalkali-MolekŸle KCa und LiCa. Hannover : Gottfried Wilhelm Leibniz UniversitŠt, Diss., 2021, 111 S., DOI: https://doi.org/10.15488/11717",[5] 2021,
LiCa,6.941,40.078,5.916361428,3 $^2 \Pi$,19285,144.5,,,,,3.5451,0.841264,,"[1] A. Stein, M. Ivanova, A. Pashov, H. Kno¬ckel and E. Tiemann, J. Chem. Phys., 2013, 138, 114306. [2] Wu, C., Ihle, H. and Gingerich, K., 1983. A mass spectrometric study of the alkaline earth diatomic molecules. Dissociation energies of Mg2, Ca2 and CaLi. International Journal of Mass Spectrometry and Ion Physics, 47, pp.235-238.",[1] 2013 [2] 1983,
LiCa,6.941,40.078,5.916361428,4 $^2 \Pi$,22257.8,178.5,,,,,,0.841264,,"[3] Russon, L. M.; Rothschopf, G. K.; Morse, M. D.; Boldyrev, A. I.; Simons, J. Two-Photon Ionization Spectroscopy and All-Alectron Ab Initio Study of LiCa. J. Chem. Phys. 1998, 109, 6655?6665.  [2] Wu, C., Ihle, H. and Gingerich, K., 1983. A mass spectrometric study of the alkaline earth diatomic molecules. Dissociation energies of Mg2, Ca2 and CaLi. International Journal of Mass Spectrometry and Ion Physics, 47, pp.235-238.",[3] 1998 [2] 1983,
LiCl,7,35,5.833333333,X,0,643.31,4.501,0.70652224,0.00800961,3.4087,2.020673,4.84,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
LiCs,6.941,132.905,6.596496182,X $^1 \Sigma$,0,,,,,,3.6681,0.717051546,,"[1] Mabrouk, N., Berriche, H., Ouada, H. and Gadea, F., 2010. Theoretical Study of the LiCs Molecule: Adiabatic and Diabatic Potential Energy and Dipole Moment. The Journal of Physical Chemistry A, 114(24), pp.6657-6668. 
[2] Staanum, P., Pashov, A., Knšckel, H. and Tiemann, E., 2007. X 1 ? + and a 3 ? + states of LiCs studied by Fourier-transform spectroscopy. Physical Review A, 75(4).",[1] 2010 [2]2007,
LiCs,6.941,132.905,6.596496182,b $^3 \Pi_{0}$,9416.96,173.012,0.3793,0.189,-0.000474,-0.445,3.662,0.717051546,,"[4] Grochola, A., Szczepkowski, J., Jastrzebski, W. and Kowalczyk, P., 2014. Study of the A1?+ and b3?0 states in LiCs by a polarization labelling spectroscopy technique.ÊJournal of Quantitative Spectroscopy and Radiative Transfer, 145, pp.147-152.",[4] 2014,
LiCs,6.941,132.905,6.596496182,A $^1 \Sigma^{+}$,10757.21,101.771,0.1003,0.12923,0.00103,9.66,4.424,0.717051546,,"[4] Grochola, A., Szczepkowski, J., Jastrzebski, W. and Kowalczyk, P., 2014. Study of the A1?+ and b3?0 states in LiCs by a polarization labelling spectroscopy technique.ÊJournal of Quantitative Spectroscopy and Radiative Transfer, 145, pp.147-152.",[4] 2014,
LiCs,6.941,132.905,6.596496182,B $^1 \Pi$,16012.217,,,,,,4.12178,0.717051546,,"[1] Mabrouk, N., Berriche, H., Ouada, H. and Gadea, F., 2010. Theoretical Study of the LiCs Molecule: Adiabatic and Diabatic Potential Energy and Dipole Moment. The Journal of Physical Chemistry A, 114(24), pp.6657-6668. 
[2] Stein, A., Pashov, A., Staanum, P. et al. The B1? and D1? states of LiCs studied by Fourier-transform spectroscopy. Eur. Phys. J. D 48, 177Ð185 (2008). https://doi.org/10.1140/epjd/e2008-00089-y",[1] 2010 [3] 2008,
LiCs,6.941,132.905,6.596496182,D $^1 \Pi$,18293.37,,,,,,4.055,0.717051546,,"[1] Mabrouk, N., Berriche, H., Ouada, H. and Gadea, F., 2010. Theoretical Study of the LiCs Molecule: Adiabatic and Diabatic Potential Energy and Dipole Moment. The Journal of Physical Chemistry A, 114(24), pp.6657-6668. [2] Stein, A., Pashov, A., Staanum, P. et al. The B1? and D1? states of LiCs studied by Fourier-transform spectroscopy. Eur. Phys. J. D 48, 177Ð185 (2008). https://doi.org/10.1140/epjd/e2008-00089-y",[1] 2010 [3] 2008,
LiF,7,19,5.115384615,X,0,910.34,7.929,1.3452576,0.0202868,1.1754,1.563864,5.91,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
LiH,7,1,0.875,X,0,1405.65,23.2,7.5131,0.2132,0.8617,1.5957,2.42871,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
LiI,7,127,6.634328358,X,0,498.16,3.39,0.443182,0.00409,1.448,2.391924,3.54,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
LiK,6.941,39.098,5.894550664,X $^1 \Sigma^{+}$,0,207,30.2271,0.265,,,3.27,0.81091,4.69,"[1] MŸller, W. and Meyer, W., 1984. Ground?state properties of alkali dimers and their cations (including the elements Li, Na, and K) from ab initio calculations with effective core polarization potentials. The Journal of Chemical Physics, 80(7), pp.3311-3320. [2] F. Emgelke, Faraday Discuss. Chem. Soc. 71, 357 (1981) [3] Zmbov, K., Wu, C. and Ihle, H., 1977. A mass spectrometric study of heteronuclear diatomic alkali metal molecules. Dissociation energies and ionization potentials of NaLi, KLi, and NaK. The Journal of Chemical Physics, 67(10), pp.4603-4607.",[1] 1984 [2] 1981 [3]1977,"1-B_e derived from B_0 and \mu_0 of  F. Emgelke, Faraday Discuss. Chem. Soc. 71, 357 (1981).
2-A version of this paper F. Emgelke, Faraday Discuss. Chem. Soc. 71, 357 (1981). could not be found 
3-omega_ex_e (cm^{-1}) calculated via observed D_0, D_e and omega_e using the formula D_e=D_0+(omega_{e})/2-(omega_{e}x_{e})/2 and neglecting other terms"
