Molecule,A1,A2,Reduced mass,Electronic state,Te (cm^{-1}),omega_e (cm^{-1}),omega_ex_e (cm^{-1}),Be (cm^{-1}),alpha_e (cm^{-1}),De (10^{-7}cm^{-1}),Re (\AA),D0 (eV),IP (eV),Reference,Date of reference,Notes
TeSe,128,78,48.46601942,X,0,316.24,0.738,0.0619,0.00018,0.095,2.372,3,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
TF,3,19,2.590909091,X $^1\Sigma^{+} \ 1s \sigma^2$,0,2508.54,32.54,7.692,0.176,2.6,0.9176,5.968,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
TiF,47.867,18.998,13.6001984,X $^4 \Phi_{3/2}$,0,650.60096,,0.365963,0.0024921,4.1247,1.8311,5.898,,"[1]Imajo, T., Kobayashi, Y., Nakashima, Y., Tanaka, K. and Tanaka, T., 2005. Fourier transform emission spectroscopy of the TiF radical in the 407 nm region. Journal of Molecular Spectroscopy, 230(2), pp.139-148.  [2]Ram, R. and Bernath, P., 2005. Fourier transform emission spectroscopy of the F4?ÐX4? system of TiF. Journal of Molecular Spectroscopy, 231(2), pp.165-170. [3] Ram, R., Peers, J., Teng, Y., Adam, A., Muntianu, A., Bernath, P. and Davis, S., 1997. Laser and Fourier Transform Emission Spectroscopy of theG4?ÐX4? System of TiF. Journal of Molecular Spectroscopy, 184(1), pp.186-201.",[1] APR-2005 [2] JUN-2005 [3] 1997,1- The reported \omega_e values are \DeltaG(1/2) 2-D_e values were calculated from D_0 and D_1 centerifugal distortion values via D_e=(3*D_0-D_1)/2
TiF,47.867,18.998,13.6001984,X $^4 \Phi_{5/2}$,0,650.6812,,0.3683001,0.0025376,4.47905,1.8311,5.898,,"[1]Imajo, T., Kobayashi, Y., Nakashima, Y., Tanaka, K. and Tanaka, T., 2005. Fourier transform emission spectroscopy of the TiF radical in the 407 nm region. Journal of Molecular Spectroscopy, 230(2), pp.139-148.  [2]Ram, R. and Bernath, P., 2005. Fourier transform emission spectroscopy of the F4?ÐX4? system of TiF. Journal of Molecular Spectroscopy, 231(2), pp.165-170. [3] Ram, R., Peers, J., Teng, Y., Adam, A., Muntianu, A., Bernath, P. and Davis, S., 1997. Laser and Fourier Transform Emission Spectroscopy of theG4?ÐX4? System of TiF. Journal of Molecular Spectroscopy, 184(1), pp.186-201.",[1] APR-2005 [2] JUN-2005 [3] 1997,1- The reported \omega_e values are \DeltaG(1/2) 2-D_e values were calculated from D_0 and D_1 centerifugal distortion values via D_e=(3*D_0-D_1)/2
TiF,47.867,18.998,13.6001984,X $^4 \Phi_{7/2}$,0,650.731,,0.370692,0.0025754,4.85595,1.8311,5.898,,"[1]Imajo, T., Kobayashi, Y., Nakashima, Y., Tanaka, K. and Tanaka, T., 2005. Fourier transform emission spectroscopy of the TiF radical in the 407 nm region. Journal of Molecular Spectroscopy, 230(2), pp.139-148.  [2]Ram, R. and Bernath, P., 2005. Fourier transform emission spectroscopy of the F4?ÐX4? system of TiF. Journal of Molecular Spectroscopy, 231(2), pp.165-170. [3] Ram, R., Peers, J., Teng, Y., Adam, A., Muntianu, A., Bernath, P. and Davis, S., 1997. Laser and Fourier Transform Emission Spectroscopy of theG4?ÐX4? System of TiF. Journal of Molecular Spectroscopy, 184(1), pp.186-201.",[1] APR-2005 [2] JUN-2005 [3] 1997,1- The reported \omega_e values are \DeltaG(1/2) 2-D_e values were calculated from D_0 and D_1 centerifugal distortion values via D_e=(3*D_0-D_1)/2
TiF,47.867,18.998,13.6001984,X $^4 \Phi_{9/2}$,0,650.7815,,0.3731709,0.0026112,5.27415,1.8311,5.898,,"[1]Imajo, T., Kobayashi, Y., Nakashima, Y., Tanaka, K. and Tanaka, T., 2005. Fourier transform emission spectroscopy of the TiF radical in the 407 nm region. Journal of Molecular Spectroscopy, 230(2), pp.139-148.  [2]Ram, R. and Bernath, P., 2005. Fourier transform emission spectroscopy of the F4?ÐX4? system of TiF. Journal of Molecular Spectroscopy, 231(2), pp.165-170. [3] Ram, R., Peers, J., Teng, Y., Adam, A., Muntianu, A., Bernath, P. and Davis, S., 1997. Laser and Fourier Transform Emission Spectroscopy of theG4?ÐX4? System of TiF. Journal of Molecular Spectroscopy, 184(1), pp.186-201.",[1] APR-2005 [2] JUN-2005 [3] 1997,1- The reported \omega_e values are \DeltaG(1/2) 2-D_e values were calculated from D_0 and D_1 centerifugal distortion values via D_e=(3*D_0-D_1)/2
TlBr,205,81,58.05944056,X,0,192.1,0.39,0.0423895,0.00012755,8.3,2.618191,3.42,9.14,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
TlD,205,2,1.980676329,X,0,987.7,12.04,2.419,0.057,0.6,1.8692,2,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
TlH,205,1,0.995145631,X,0,1390.7,22.7,4.806,0.154,2.54,1.8702,1.97,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
TlI,205,127,78.4186747,X,0,143,,0.0272,7.00E-05,,2.814,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
