Molecule name,Electronic state,Reduced mass,Te cm^{-1},omega_e cm^{-1},omega_ex_e cm^{-1},Be cm^{-1},alpha_e cm^{-1},De 10^{-7}cm^{-1},Re \AA,D0 eV,IP eV,Reference,Date of reference
AsF,A $^3\Pi_1$,15.1553535,26348,412.13,1.44,0.292,0.002,6,1.954,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Jan-76
AsF,A $^3\Pi_2$,15.1553535,27152,412.28,1.43,0.2918,0.002,6,1.954,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Jan-76
AsN,X $^1\Sigma^+$,11.7979936,0,1068.54,5.41,0.54551,0.00337,5.3,1.6184,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Feb-76
AsN,A $^1\Pi$,11.7979936,35999.7,853.3,8.24,0.5018,0.009,6.6,1.687,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Feb-76
AsO,X $^2\Pi$,13.18093446,0,967.08,4.85,0.48482,0.0033,4.9,1.6236,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Feb-76
AsO,X $^2\Pi$,13.18093446,1025.97,965.9,4.909,0.48552,0.00332,4.9,1.6236,4.98,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Feb-76
AsO,A' $^2\Pi$,13.18093446,26168.4,633.23,2.895,0.37124,0.00262,5,1.8553,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Feb-76
AsO,A' $^2\Pi$,13.18093446,26485.2,630.3,3.006,0.37183,0.0027,5,1.8553,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Feb-76
AsO,A $^2\Sigma^+$,13.18093446,31652.45,686.68,10.78,0.4624,0.0071,8.56,1.6631,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Feb-76
AsP,X $^1\Sigma^+$,21.914122,0,604.02,1.98,0.1925,0.0008,0.78,1.999,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Feb-76
AsP,A $^1\Pi$,21.914122,32417.05,475.52,2.12,0.1744,0.0009,1.1,2.1,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Feb-76
AsS,X,22.42990654,0,567.94,1.97,0.18476,0.00082,7.8,2.0174,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77
Au2,X ${}^1\Sigma_{g}^{+}$,98.483274,0,190.9,0.42,,7.23E-05,0.025,2.4719,2.3,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Feb-75
Au2,A $O_{u}^{+}$,98.483274,19668.1,142.3,0.445,0.025958,9.03E-05,0.035,2.5679,2.3,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Feb-75
Au2,B $O_{u}^{+}$,98.483274,25685.5,179.85,0.68,0.026961,9.63E-05,0.026,2.5197,2.3,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Feb-75
AuAl,X $^1\Sigma^+$,23.7307715,0,333,1.163,0.12991,0.00067,0.718,2.3384,3.34,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Nov-74
