Molecule name,Electronic state,Reduced mass,Te cm^{-1},omega_e cm^{-1},omega_ex_e cm^{-1},Be cm^{-1},alpha_e cm^{-1},De 10^{-7}cm^{-1},Re \AA,D0 eV,IP eV,Reference,Date of reference
PtD,B $^2\Delta_{5/2}$,1.9935081,26497,1211.8,40.3,3.039,0.111,770,1.6681,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",May-75
PtH,X $^2\Delta_{5/2}$,1.00264229,0,2294.68,46,7.1963,0.1996,2613,1.52852,3.44,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",AMY 1975
PtH,X $^2\Delta_{3/2}$,1.00264229,,2177.31,43,2.2784,0.2029,2834,1.51987,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",May-75
PtH,A' $^2\Delta_{3/2}$,1.00264229,,1500.08,58,6.1103,0.2869,4717,1.65879,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",May-75
PtH,A $^2\Delta_{5/2}$,1.00264229,22311,1690.6,55.3,5.534,,3550,1.743,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",May-75
PtH,B' $^2\Phi_{7/2}$,1.00264229,24218,1428.7,74,5.758,0.326,3600,1.7088,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",May-75
PtH,B $^2\Delta_{5/2}$,1.00264229,26962,1548.18,80,6.003,0.301,3150,1.6736,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",May-75
PtO,X $^1\Sigma$,14.78218442,0,851.11,4.98,0.38224,0.00283,3.05,1.72726,3.82,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Jan-76
PtO,A $^1\Sigma$,14.78218442,16995.12,727.07,5.42,0.35385,0.00291,3.27,1.79523,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Jan-76
Rb2,$X \  ^1\Sigma_u$,42.4558995,0,57.31,0.105,,,,,0.49,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jul-77
Rb2,$B \  ^1\Pi_u$,42.4558995,14662.6,48.05,0.191,,,,,0.49,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jul-77
Rb2,$C \  ^1\Pi_u$,42.4558995,20835.1,36.46,0.124,,,,,0.49,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jul-77
Rb2,D ,42.4558995,22777.5,40.42,0.0745,,,,,0.49,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jul-77
RbBr,X,40.94512195,0,169.5,0.46,0.0475,0.000186,,2.945,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77
RbCl,X,24.79166667,0,228,0.92,0.0876041,0.00045365,0.4947,2.786736,4.34,8.26,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77
RbCs,X,51.85779817,0,49.92,0.087,0.017,9.40E-05,,4.368,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77
RbF,X,15.52884615,0,376,1.9,0.21066401,0.00152279,2.6839,2.270333,5,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77
RbH,X $^1\Sigma^+$,0.99600357,0,936.94,14.21,3.02,0.072,1230,2.367,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Jul-77
RbH,A $^1\Sigma^+$,0.99600357,18219,211.7,-6.47,1.112,-0.054,1100,3.901,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Jul-77
RbI,X,50.91981132,0,138.51,0.335,0.03283293,0.00010946,7.38E-09,3.176879,3.3,7.12,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77
RhC,X $^2\Sigma^+$,10.74679641,0,1049.87,4.937,0.6027,0.00396,7.83,1.6133,6.01,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",May-75
RhC,A $^2\Pi$,10.74679641,9462.94,949.41,5.357,0.57329,0.00426,8.26,1.6554,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",May-75
RhC,A $^2\Pi$,10.74679641,10242.75,939.12,5.48,0.57149,0.00428,8.32,1.6554,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",May-75
RuC,X $^3 \Sigma^{+}$,10.72566372,0,1100,5.3,,,,1.6,,,"R. S. DaBell, R. G. Meyer and M. D. Morse, J. Chem. Phys., 2001, 114, 2938Р2954.",2001
S2,$X \ ^3\Sigma_{u}^{-}$,42.4558995,0,725.65,2.844,0.29547,0.00157,1.9,1.8892,4.3693,9.36,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jul-77
S2,$C \ ^3\Sigma_{u}^{-}$,42.4558995,55581.7,829.15,3.34,0.3219,0.0013,2.17,1.81,4.3693,9.36,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jul-77
S2,E ,42.4558995,65829,818,,,,,,4.3693,9.36,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jul-77
S2,F ,42.4558995,66333,827,,,,,,4.3693,9.36,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jul-77
Sb2,X ,60.9479074,0,269.98,0.588,,,,,3.09,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jul-77
Sb2,A ,60.9479074,14991,217.2,0.44,,,,,3.09,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jul-77
Sb2,B ,60.9479074,19068.9,218.08,0.537,,,,,3.09,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jul-77
Sb2,D ,60.9479074,32087,209.6,,,,,,3.09,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jul-77
Sb2,H ,60.9479074,44329,479,,,,,,3.09,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jul-77
Sb2,F ,60.9479074,44780,226,1.17,,,,,3.09,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jul-77
Sb2,E ,60.9479074,48645,228,,,,,,3.09,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jul-77
Sb2,G ,60.9479074,53888,185,,,,,,3.09,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jul-77
Sb2,I ,60.9479074,59142,210,,,,,,3.09,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jul-77
Sb2,M ,60.9479074,63258,152,,,,,,3.09,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jul-77
Sb2,u ,60.9479074,70194,272,,,,,,3.09,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jul-77
SbF,X$_1$ $^3\Sigma^-$ $0^+$,16.4184644,0,605,2.62,0.2792,0.002,2.3,1.9177,4.4,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Jul-77
SbF,X$_2$ $^3\Sigma^-$ $1$,16.4184644,796.3,612.6,2.61,0.2805,0.002,2.4,1.9132,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Jul-77
SbF,a $^1\Delta$,16.4184644,6816,616.3,2.7,0.2806,0.00187,2.3,1.9129,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Jul-77
SbF,b $^1\Sigma^+$,16.4184644,13651.1,615.5,2.8,0.2815,0.0025,2.4,1.9098,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Jul-77
SbF,A,16.4184644,21407.5,416,2.1,0.23853,,3.22,2.0747,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Jul-77
SbO,X,14.13138686,0,816,4.2,0.358,0.0022,2.7,1.8258,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77
SbP,X,24.67763158,0,500.1,1.63,0.141,0.0005,,2.21,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77
ScCl,X $^1\Sigma^+$,22.4779587,0,447.4,1.8,0.1725,0.001,1.1,2.229,3.4,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",May-75
ScCl,A $^1\Sigma^+$,22.4779587,12431.2,373.9,0.9,0.1574,,1.1,2.333,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",May-75
ScCl,B $^1\Pi$,22.4779587,17613.3,374.3,2.3,0.1551,,1.1,2.351,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",May-75
ScF,X $^1\Sigma^+$,13.3546988,0,735.6,3.8,0.395,0.00266,,1.7877,6.17,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",May-75
ScF,a $^3\Delta_1$,13.3546988,,648.91,3.03,0.3623,0.0025,,1.8666,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",May-75
ScF,a $^3\Delta_2$,13.3546988,,648.98,3.03,0.3665,0.00254,,1.8559,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",May-75
ScF,a $^3\Delta_3/$,13.3546988,,649.11,3.03,0.3706,0.00258,,1.8456,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",May-75
ScF,B $^1\Pi$,13.3547,10735.4,586.25,2.015,0.03431,0.00262,,1.9181,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",May-75
ScO,X $^2\Sigma^+$,11.79747757,0,964.95,4.2,0.51343,0.0033,5.85,1.66826,6.96,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Jan-77
ScO,A $^2\Pi$,11.79747757,16547,876,5,0.50277,0.0037,6.54,1.68585,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Jan-77
ScO,A' $^2\Delta$,11.79747757,15029.8,845.9,4.9,,,,,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Jan-77
ScO,A' $^2\Delta$,11.79747757,15135.9,845.9,4.9,,,,,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Jan-77
ScO,A' $^2\Delta$,11.79747757,15029.8,845.9,4.9,,,,,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Jan-77
ScO,A' $^2\Delta$,11.79747757,15029.8,845.9,4.9,,,,,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Jan-77
ScO,B $^2\Sigma^+$,11.79747757,20645.1,825.47,4.21,0.48308,0.0032,6.74,1.71986,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Jan-77
SD,X $^2\Pi$,1.89474169,0,1885.5,30.9,4.9003,0.1,1350,1.3406,3.6,10.43,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Jul-77
SD,A $^2\Sigma^+$,1.89474169,31039,1417,48.85,4.392,0.172,1760,1.4233,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Jul-77
SD,B $^2\Sigma^$,1.89474169,59581,1859.16,29.3,4.532,0.105,1350,1.4011,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Jul-77
Se2,$X_{1} \ ^3\Sigma_{u}^{-} \ 0_{u}^{+}$,39.9582627,0,385.303,0.96363,0.08992,0.000288,0.24,2.166,,8.88,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jul-77
Se2,$X_{2} { }^{3} \Sigma_{u}^{-} l_{u}^{+}$,39.9582627,510,387.156,0.964,0.09019,0.000299,0.2,2,,8.88,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jul-77
Se2,$B_{1} \ ^3\Sigma_{u}^{-} \ 0_{u}^{+}$,39.9582627,25980.36,246.29,1.016,0.07048,0.000345,0.4,2.4466,,8.88,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jul-77
Se2,$B_{2} { }^{3} \Sigma_{u}^{-} l_{u}^{+}$,39.9582627,26058.6,246.42,1.225,0.07086,0.000553,0.2,2.44,,8.88,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jul-77
Se2,$C_{1} \ ^3 \Sigma_{u}^{+} \ l_u^+$,39.9582627,53220.5,428,1.22,0.09664,0.000333,,2.0894,,8.88,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jul-77
Se2,$C_{2} \ ^3 \Sigma_{u}^{+} \ O_u^+$,39.9582627,53324,414,,,,,,,8.88,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jul-77
Se2,$D \ \left(1_{u}\right)$,39.9582627,53075,426.2,,0.0965,,,2.091,,8.88,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jul-77
Se2,$E \ O _{ u }^{+}$,39.9582627,54752.5,403.9,1.3,0.0924,0.00033,,2.137,,8.88,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jul-77
Se2,$F \ \left(1_{u}\right)$,39.9582627,55421,430.2,,,,,,,8.88,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jul-77
SeH,X,0.994319157,0,2400,,7.8,,,1.47,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77
SeO,X$_1$  $^3\Sigma^-$ $0^-$,13.32748238,0,914.69,4.52,0.4655,0.00323,5,1.6484,4.41,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Oct-77
SeO,X$_2$  $^3\Sigma^-$ $1$,13.32748238,165.9,915.43,4.52,0.4738,0.00339,5,1.6339,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Oct-77
SeO,a $^1\Delta$,13.32748238,5300,,,0.461,,,1.656,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Oct-77
SeO,b $^1\Sigma^+$,13.32748238,9723.5,838.83,5.11,0.456,0.0035,8,1.6655,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Oct-77
SeO,A$_1$ $^3\Pi_0$,13.32748238,16144,994,6.5,0.47,,,1.64,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Oct-77
SeO,A$_2$ $^3\Pi_1$,13.32748238,16458,996,7,0.47,,,1.64,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Oct-77
SeO,A$_3$ $^3\Pi_2$,13.32748238,16773,980,,0.47,,,1.64,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Oct-77
SeS,X$_1$ $0^+$,22.66987689,0,555.56,1.848,0.17926,0.00076,0.6,2.0367,3.7,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Jul-77
SeS,X$_2$ $1$,22.66987689,205,556.26,1.831,0.18121,0.00089,0.7,2.0257,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Jul-77
SeS,A $0^+$,22.66987689,27328.4,332.1,2.66,0.1186,0.00095,,2.504,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Jul-77
SeS,B$_1$ $0^+$,22.66987689,28248.2,330.82,2.92,0.1369,0.00121,,2.331,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Jul-77
SeS,B$_2$ $0^+$,22.66987689,28330,327.56,,0.1349,,,2.348,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Jul-77
SF,X,11.92156863,0,837.6,4.47,0.5552,0.00045,,1.596,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77
SH,X $^2\Pi$,0.97702732,0,2711.6,59.9,9.4611,0.27,4800,1.3409,3.55,10.43,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Jul-77
SH,A $^2\Sigma^+$,0.97702732,31038,1979.8,97.65,8.521,0.464,6360,1.423,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Jul-77
SH,B $^2\Sigma^$,0.97702732,59641,2557.03,56.8,8.785,0.259,8200,1.4014,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Jul-77
Si2,$X \ ^3 \Sigma_{g}^{-}$,13.9884643,0,510.98,2.02,0.239,0.00135,2.1,2.246,3.21,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Aug-77
Si2,$H \ ^3 \Sigma_{u}^{-}$,13.9884643,24429.15,275.3,1.99,0.1712,0.00135,3,2.653,3.21,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Aug-77
Si2,$K \ ^3 \Sigma_{u}^{-}$,13.9884643,30794,462.6,5.95,0.2186,0.00316,,2.348,3.21,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Aug-77
Si2,$N \ ^3 \Sigma_{u}^{-}$,13.9884643,46789.1,458.6,4.8,0.2193,0.0025,2.3,2.344,3.21,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Aug-77
Si2,$O \ ^3 \Sigma_{u}^{-}$,13.9884643,53395.58,404.2,3,0.2225,0.003,5,2.327,3.21,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Aug-77
SiBr,X,20.6728972,0,424,1,0.16,,,2.26,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77
SiCl,X $^2\Pi$,15.5422824,0,535.6,2.168,0.2561,0.0016,2.5,2.058,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Sep-77
SiCl,X $^2\Pi$,15.5422824,206.6,535.6,2.16,0.2561,0.0016,2.5,2.058,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Sep-77
SiCl,A $^2\Sigma$,15.5422824,23113.9,294.95,0.73,0.1986,0.0007,2.9,2.337,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Sep-77
SiCl,B $^2\Sigma^+$,15.54228,34108.6,706.6,3.9,0.2784,0.0017,1.8,1.971,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Sep-77
SiD,X $^2\Pi$,1.87884152,0,1469.32,18.23,3.884,0.0781,1054,1.51989,3.095,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Aug-77
SiD,A $^2\Delta$,1.87884152,2413.8,1328.08,48.11,3.868,0.1318,1.379,1.52304,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Aug-77
SiF,X $^2\Pi$,11.3148108,0,857.19,4.735,0.58121,0.00494,10.7,1.6011,5.57,7.28,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Sep-77
SiF,A $^2\Sigma^+$,11.3148108,22858.3,718.58,10.167,0.57839,0.00941,15.7,1.6011,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Sep-77
SiF,a $^4\Sigma^-$,11.3148108,29805.06,863.1,5.37,0.57862,0.00502,10.5,1.6046,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Sep-77
SiF,B $^2\Sigma^+$,11.3148108,34561.5,1011.23,4.825,0.62707,0.00462,10.1,1.5414,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Sep-77
SiH,X $^2\Pi$,0.97278226,0,2041.8,35.51,7.4996,0.219,3970,1.5201,3.06,8.04,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Aug-77
SiH,A $^2\Delta$,0.97278226,24300.4,1858.9,99.175,7.4664,0.3445,5240,1.52347,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Aug-77
SiI,X,22.94193548,0,364,1.2,0.12,,,2.4,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77
SiN,X $^2\Sigma^+$,9.33213399,0,1151.36,6.47,0.7311,0.00565,12,1.5719,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Sep-77
SiN,A $^2\Pi$,9.33213399,8000,1044.41,6.2,0.67516,0.00538,11,1.6357,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Sep-77
SiN,B $^2\Sigma^+$,9.33213399,24299.2,1031.03,16.85,0.7238,0.01048,15,1.5798,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Sep-77
SiO,X $^1\Sigma^+$,10.17670761,0,1241.557,5.966,0.7267512,0.0050377,9.8,1.509739,8.26,11.43,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Aug-77
SiO,a $^3\Sigma^+$,10.17670761,33630,790,4.1,0.57,0.0052,,1.7,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Aug-77
SiO,b $^3\Pi_0$,10.17670761,33874.8,1013.8,7.5,0.66386,0.0044,5,1.5624,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Aug-77
SiO,b $^3\Pi_1$,10.17670761,33947.4,1013.8,7.5,0.6707,0.0044,12.5,1.5624,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Aug-77
SiO,b $^3\Pi_2$,10.17670761,34018.5,1013.8,7.5,0.6892,0.0044,22,1.5624,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Aug-77
SiO,d $^3\Delta$,10.17670761,36487,767,4.1,0.5631,0.0052,,1.715,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Aug-77
SiO,e $^3\Sigma^-$,10.17670761,38309,748,4.19,0.5563,0.00515,,1.726,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Aug-77
SiO,C $^1\Sigma^-$,10.17670761,38624,740,4.27,0.5555,0.0052,,1.727,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Aug-77
SiO,D $^1\Delta$,10.17670761,38823,730,3.9,0.5538,0.00516,,1.729,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Aug-77
SiO,A $^1\Pi$,10.17670761,42835.4,825.8,6.43,0.6307,0.0066,1.43,1.6206,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Aug-77
SiS,X $^1\Sigma^+$,14.9206889,0,749.64,2.577,0.30352788,0.00147308,2.01,1.929321,6.42,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Aug-77
SiS,a $^3\Pi_1$,14.9206889,30239.2,,,0.2818,,,2.0023,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Aug-77
SiS,D $^1\Pi$,14.9206889,35026.86,513.12,2.93,0.26647,0.00216,2.91,2.0591,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Aug-77
SiSe,X,20.74074074,0,580,1.78,0.1920117,0.0007767,0.842,2.058324,5.64,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77
SnCl,X$_1$ $^2\Pi_{1/2}$,27.0731195,0,351.1,1.06,0.1117,0.0004,,2.361,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Sep-77
